Year,Make,Model,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,ExteriorColor,InteriorColor,Used,VIN,Stock#,ID_Car
2019,Subaru,Forester Touring,AWD,26,33,Gasoline,CVT,2.5L H4 16V GDI DOHC,Crystal White Pearl,Saddle Brown,True,JF2SKAWC8KH531544,531544,2139
2019,Honda,CR-V EX-L,AWD,27,33,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Black,Gray,True,JHLRW2H89KX001334,H412603A,2140
2018,Honda,Accord EX,FWD,30,38,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Black,Black,True,1HGCV1F47JA122947,KBB0161A,2141
2019,Toyota,Corolla SE,FWD,28,35,Gasoline,CVT,1.8L I4 16V MPFI DOHC,Classic Silver Metallic,Black,True,2T1BURHE9KC219548,KC219548,2142
2021,Honda,Pilot EX-L,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Crystal Black Pearl,Black,True,5FNYF6H57MB100656,MB100656,2143
2018,Lexus,RX 450h 450H,AWD,31,28,Hybrid,CVT,3.5L V6 24V MPFI DOHC Hybrid,Caviar,Black,True,2T2BGMCA6JC023446,LPJC023446,2144
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE,4WD,17,23,Gasoline,Automatic,3.0L V6 24V GDI DOHC Supercharged,Corris Grey,Ebony / Ebony,True,SALWR2FV7HA130970,HA130970,2145
2019,Bmw,430 i,RWD,24,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Sunset Orange Metallic,Black,True,WBA4W3C5XKAF92867,PN6648,2146
2018,Mercedes-Benz,C-Class C 300,RWD,24,33,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black,Black,False,55SWF4JB7JU275558,UL49214,2147
2019,Bmw,540 i,RWD,21,29,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Black Sapphire Metallic,Black,False,WBAJE5C58KWW39301,24056,2148
2020,Bmw,X5 sDrive40i,RWD,21,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Arctic Gray Metallic,Â,False,5UXCR4C05L9B38186,L9B38186,2149
2017,Honda,Accord EX-L,FWD,27,36,Gasoline,CVT,2.4L I4 16V GDI DOHC,Crystal Black Pearl,Â,True,1HGCR2F83HA024277,HA024277,2150
2015,Mercedes-Benz,S-Class S 63 AMG,AWD,15,23,Gasoline,Automatic,5.5L V8 32V GDI DOHC Twin Turbo,Silver Gray,Â,True,WDDXJ7JBXFA009267,FA009267,2151
2019,Mazda,CX-5 Touring,FWD,25,31,Gasoline,Automatic,2.5L I4 16V GDI DOHC,Jet Black Mica,Black,True,JM3KFACMXK1585394,22518,2152
2020,Jeep,Grand Cherokee Trailhawk,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Diamond Black,Â,True,1C4RJFLG4LC255172,LC255172,2153
2021,Jeep,Grand Cherokee Limited,RWD,19,26,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Granite Crystal Clearcoat Metallic,Black,True,1C4RJEBG6MC603423,BT55393,2154
2019,Lexus,RX 350 F Sport,AWD,19,26,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Obsidian Black,Black,True,2T2BZMCA3KC186499,KC186499,2155
2019,Mercedes-Benz,CLA 250 CLA 250,AWD,24,32,Flex Fuel,Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Midnight Black,Black,True,WDDSJ4GB0KN715084,PKN715084,2156
2020,Honda,CR-V EX-L,AWD,27,32,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Sonic Gray Pearl,Black,False,5J6RW2H87LA002669,P8187,2157
2022,Porsche,911 GT3,RWD,15,18,Gasoline,Automatic,4.0L H6 24V GDI DOHC,Chalk,Black,True,WP0AC2A91NS269382,P269382,2158
2019,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Brown Metallic,Amarone,False,5UXCR6C52KLL51876,KLL51876A,2159
2019,Bmw,540 i,RWD,21,29,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Black Sapphire Metallic,Black,True,WBAJE5C5XKWW26985,5145158,2160
2020,Lexus,GX 460 Base,4WD,15,19,Gasoline,Automatic,4.6L V8 32V MPFI DOHC,Black,Black,True,JTJAM7BXXL5258011,5140528B,2161
2019,Mazda,CX-5 Grand Touring,FWD,25,31,Gasoline,Automatic,2.5L I4 16V GDI DOHC,Deep Crystal Blue Mica,Black,True,JM3KFADM2K1631976,3271,2162
2020,Ram,1500 Laramie,RWD,20,25,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Maximum Steel Clearcoat Metallic,Black,True,1C6RREJT4LN107960,LN107960A,2163
2005,Mazda,Tribute i,4WD,19,22,Gasoline,Automatic,2.3L DOHC SMPI 16-valve I4 engine,Blue,Dark Flint Gray,True,4F2YZ92Z55KM49016,M49016,2164
2019,Ford,F-150 XLT,4WD,18,23,Flex Fuel,Automatic,3.3L V6 24V PDI DOHC Flexible Fuel,Oxford White,Medium Earth Gray,True,1FTEX1EB6KKD36955,91176,2165
2017,Ford,Expedition EL Limited,RWD,15,20,Gasoline,Automatic,3.5L V6 24V GDI DOHC Twin Turbo,Black,Black,True,1FMJK1KT6HEA85173,22983658,2166
2015,Acura,MDX 3.5L Technology Package,FWD,20,28,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Silver Moon,Â,True,5FRYD3H44FB007431,FB007431,2167
2020,Jeep,Wrangler Unlimited Rubicon,4WD,17,23,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Granite Crystal Clearcoat Metallic,Dark Saddle / Black,True,1C4HJXFN0LW222616,P10967,2168
2019,Honda,CR-V EX-L,AWD,27,33,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Crystal Black Pearl,Black,False,7FARW2H87KE017348,221325A,2169
2018,Subaru,Forester 2.5i Limited,AWD,26,32,Gasoline,CVT,2.5L H4 16V MPFI DOHC,Venetian Red Pearl,Gray,True,JF2SJAJC5JH506397,73639A,2170
2018,Honda,Accord EX-L 2.0T,FWD,23,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Lunar Silver Metallic,Gray,True,1HGCV2F5XJA038510,B1400,2171
2020,Bmw,X3 xDrive30i,AWD,24,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Alpine White,Black,False,5UXTY5C01L9B84008,PLBS200029,2172
2022,Acura,MDX A-Spec,AWD,19,25,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Apex Blue Pearl,Ebony,False,5J8YE1H0XNL045131,SL22363,2173
2018,Gmc,Sierra 1500 SLT,RWD,16,23,Gasoline,Automatic,5.3L V8 16V GDI OHV,Quicksilver Metallic,Dark Ash,True,3GTP1NEC3JG609138,P18450,2174
2017,Chevrolet,Equinox LT,FWD,21,31,Gasoline,Automatic,2.4L I4 16V GDI DOHC,Nightfall Gray Metallic,Jet Black,True,2GNALCEK4H1585843,94423NRC,2175
2010,Audi,A4 2.0T Premium Plus quattro,AWD,21,27,Gasoline,Automatic,4 Cylinder Engine,Quartz Gray Metallic,Black,True,WAUFFAFL0AN058966,058966,2176
2019,Honda,CR-V EX-L,AWD,27,33,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Blue,Ivory,True,7FARW2H8XKE052899,H22569A,2177
2020,Dodge,Durango R/T,AWD,14,22,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Db Black Clearcoat,Black,True,1C4SDJCT8LC262439,C1942A,2178
2021,Mazda,CX-5 Grand Touring,AWD,24,30,Gasoline,Automatic,2.5L I4 16V GDI DOHC,Sonic Silver Metallic,Black,True,JM3KFBDM7M1348448,C1979,2179
2005,Porsche,Cayenne S,AWD,14,18,Gasoline,Automatic,4.5L V8 32V MPFI DOHC,Basalt Black Metallic,Havanna / Sand Beige,True,WP1AB29P35LA64127,K1941,2180
2018,Toyota,RAV4 XLE,AWD,22,28,Gasoline,Automatic,2.5L I4 16V MPFI DOHC,Super White,Black,True,JTMRFREV4JJ247533,247533K,2181
2020,Lincoln,Nautilus Reserve,AWD,20,25,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Mocha,Coffee,True,2LMPJ8K95LBL26708,T181567BB,2182
2019,Infiniti,QX60 Luxe,AWD,19,26,Gasoline,CVT,3.5L V6 24V GDI DOHC,Graphite Shadow,Graphite,True,5N1DL0MM3KC518333,22731204,2183
2020,Ford,Explorer XLT,4WD,20,27,Gasoline,Automatic,4 Cylinder Engine,Agate Black Metallic,Â,True,1FMSK8DH9LGA59315,H4879,2184
2017,Jeep,Grand Cherokee Limited,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Granite Crystal Clearcoat Metallic,Black,True,1C4RJFBG6HC851800,J192135A,2185
2018,Lexus,RX 350 RX 350,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Nebula Gray Pearl,Gray,True,2T2BZMCA5JC136721,NLS221451A,2186
2018,Lexus,RX 350,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Eminent White Pearl,Black,True,2T2ZZMCA8JC103906,NLSP180177,2187
2019,Ford,F-150 XLT,4WD,18,23,Gasoline,Automatic,5.0L V8 32V PDI DOHC,Magma Red Metallic,Black,True,1FTFW1E59KFC36312,HC24035,2188
2020,Jeep,Grand Cherokee Limited,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Pacific Blue Clearcoat,Black,False,1C4RJFBG8LC328531,J220883A,2189
2019,Honda,CR-V EX-L,FWD,28,34,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Gunmetal Metallic,Gray,True,5J6RW1H85KA030205,A2108ZA,2190
2019,Jeep,Grand Cherokee Altitude,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Sting Gray Clearcoat,Black,True,1C4RJFAG5KC775432,2U5762P,2191
2020,Mercedes-Benz,GLE 350 Base 4MATIC,AWD,19,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black,Black,True,4JGFB4KB8LA067160,LA067160,2192
2019,Cadillac,XT5 Luxury,AWD,18,25,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Radiant Silver Metallic,Jet Black,False,1GYKNDRS2KZ189426,7283,2193
2018,Lexus,RX 350 350,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Eminent White Pearl,Black,True,2T2BZMCA4JC153168,C153168A,2194
2010,Mercedes-Benz,E-Class E 350,RWD,17,26,Gasoline,Automatic,V6 Cylinder Engine,Black,Beige,True,WDDKJ5GB3AF043729,043729,2195
2021,Jeep,Grand Cherokee Trailhawk,4WD,18,25,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Silver,Ruby Red,False,1C4RJFLT7MC800439,FP00439,2196
2018,Honda,Accord EX-L,FWD,30,38,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Lunar Silver Metallic,Gray,False,1HGCV1F52JA235231,N27408A,2197
2018,Toyota,RAV4 LE,FWD,23,30,Gasoline,Automatic,2.5L I4 16V MPFI DOHC,Black,Black,True,2T3ZFREV4JW518740,3006P,2198
2020,Lexus,NX 300 F Sport,FWD,22,28,Gasoline,Automatic,2.0L I4 16V PDI DOHC Turbo,Nebula Gray Pearl,Â,True,JTJSARBZ5L5016236,L5016236,2199
2018,Toyota,RAV4 Limited,AWD,22,28,Gasoline,Automatic,2.5L I4 16V MPFI DOHC,Silver Sky Metallic,Black,True,JTMDFREV7JJ742240,P7058,2200
2019,Ford,Expedition Max Limited,4WD,16,21,Gasoline,Automatic,3.5L V6 24V GDI DOHC Twin Turbo,Agate Black Metallic,Ebony,True,1FMJK2AT9KEA46575,EA46575,2201
2020,Toyota,Corolla LE,FWD,30,38,Gasoline,CVT,1.8L I4 16V MPFI DOHC,White,Â,True,JTDEPRAE3LJ081624,08555,2202
2019,Bmw,X3 sDrive30i,RWD,23,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Jet Black,Black,True,5UXTR7C50KLF26652,PKLF26652,2203
2019,Honda,Passport EX-L,FWD,20,25,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Black Copper Pearl,Â,True,5FNYF7H59KB003493,KB003493,2204
2019,Honda,CR-V EX-L,AWD,27,33,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Lunar Silver Metallic,Gray,True,7FARW2H88KE055669,XRA0006,2205
2020,Tesla,Model X Long Range,AWD,99,93,Electric,Automatic,Electric,Â,Â,True,5YJXCAE20LF218046,R5018K,2206
2021,Nissan,Murano Platinum,FWD,20,28,Gasoline,CVT,3.5L V6 24V MPFI DOHC,Boulder Gray,Gray,True,5N1AZ2DJ3MC144845,P9491,2207
2015,Jeep,Grand Cherokee Summit,4WD,21,28,Diesel,Automatic,Intercooled Turbo Diesel V-6 3.0 L/182,Bright White Clearcoat,Black/Dark Sienna Brown,True,1C4RJFJM4FC806830,J22194A,2208
2018,Mercedes-Benz,GLA 250 Base 4MATIC,AWD,23,31,Flex Fuel,Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Cosmos Black Metallic,Black,True,WDCTG4GB4JJ513524,P10956,2209
2021,Bmw,X7 xDrive40i,AWD,19,24,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Phytonic Blue Metallic,Cognac,True,5UXCW2C01M9F35246,M9F35246C,2210
2019,Maserati,Levante Base,AWD,15,21,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,Blu Passione Mica,Red,True,ZN661XUA3KX317556,FF2717,2211
2016,Nissan,Versa 1.6 S+,FWD,31,40,Gasoline,CVT,1.6L I4 16V MPFI DOHC,Brilliant Silver,Charcoal,True,3N1CN7AP4GL910656,0656P0750,2212
2019,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Alpine White,Black,True,5UXCR6C54KLL64886,CMT221567A,2213
2019,Honda,CR-V EX-L,FWD,28,34,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Modern Steel Metallic,Gray,False,5J6RW1H84KA046993,P20967C,2214
2018,Chevrolet,Silverado 1500 LT,4WD,17,22,Gasoline,Automatic,5.3L V8 16V GDI OHV,Black,Black,True,1GCVKREC8JZ121573,CH221632A,2215
2019,Jeep,Grand Cherokee Limited,RWD,19,26,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Diamond Black,Light Frost Beige / Black,True,1C4RJEBG0KC857397,H2G573374A,2216
2020,Lexus,RX 350 Base,FWD,20,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Caviar,Parchment,True,2T2HZMAA9LC173237,22329901,2217
2021,Land,Rover Defender 110 X,4WD,17,22,Gasoline,Automatic,V6,Santorini Black,Ebony,True,SALEX7RU2M2050529,NM2050529T,2218
2021,Bmw,330 i xDrive,AWD,25,34,Gasoline,Automatic,4 Cylinder Engine,Phytonic Blue Metallic,Black,False,3MW5R7J01M8B58455,BPSU58455,2219
2017,Jeep,Grand Cherokee Limited,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Silver,Black,True,1C4RJFBG2HC809642,F202803,2220
2019,Porsche,911 Carrera 4S,AWD,20,28,Gasoline,Automatic,3.0L H6 24V GDI DOHC Twin Turbo,Black,Black,True,WP0AB2A9XKS114599,A452P,2221
2019,Nissan,Maxima 3.5 SL,FWD,20,30,Gasoline,CVT,V6 Cylinder Engine,Super Black,Charcoal,True,1N4AA6AV5KC379258,KC379258,2222
2019,Lexus,LS 500 Base,AWD,18,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,Gray,Parchment,True,JTHC51FF4K5006694,10296U,2223
2020,Hyundai,Palisade SEL,AWD,19,24,Gasoline,Automatic,3.8L V6 24V GDI DOHC,Steel / Graphite,Black,True,KM8R2DHE0LU036224,Y7406PL,2224
2019,Honda,CR-V EX-L,AWD,27,33,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Modern Steel Metallic,Black,True,7FARW2H83KE023986,U34570T,2225
2019,Mercedes-Benz,S-Class S 560 4MATIC,AWD,17,27,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,Black,Black,True,WDDUG8GB8KA475787,KA475787P,2226
2020,Mercedes-Benz,GLE 350 Base 4MATIC,AWD,19,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Selenite Gray Metallic,Black,False,4JGFB4KBXLA245585,14806M,2227
2019,Audi,Q8 3.0T Premium,AWD,17,22,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,Carrara White,Okapi Brown,True,WA1EVAF17KD036691,XA1115,2228
2019,Bmw,X3 xDrive30i,AWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Jet Black,Black,True,5UXTR9C51KLR08777,H03259,2229
2019,Nissan,Rogue SL,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,Magnetic Black,Charcoal,True,5N1AT2MV7KC828282,KC828282,2230
2019,Jeep,Grand Cherokee Limited,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Diamond Black,Light Frost,True,1C4RJFBG6KC737464,70378A,2231
2019,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Crystal Black Silica,Black,True,JF2GTAEC4K8248482,PS268,2232
2020,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Alpine White,Canberra Beige,False,5UXCR6C06L9B63044,L9B63044,2233
2021,Chevrolet,Tahoe LT,RWD,16,20,Gasoline,Automatic,5.3L V8 16V GDI OHV,Black,Â,True,1GNSCNKD4MR116226,MR116226,2234
2019,Lexus,GX 460 Base,4WD,15,18,Gasoline,Automatic,4.6L V8 32V MPFI DOHC,Black,Black,True,JTJBM7FX3K5233917,BK6197,2235
2020,Land,Rover Range Rover Sport SE,4WD,19,24,Gasoline,Automatic,V6,Narvik Black,Ebony / Ebony,True,SALWG2SU9LA890619,P1541,2236
2014,Bmw,X3 xDrive28i,AWD,21,28,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Mineral Silver Metallic,Oyster,True,5UXWX9C56E0D32454,CAR8657,2237
2019,Bmw,330 i,RWD,26,36,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black,Beige,False,WBA5R1C50KAK11623,TKAK11623,2238
2018,Mazda,CX-5 Grand Touring,FWD,25,31,Gasoline,Automatic,2.5L I4 16V GDI DOHC,Machine Gray Metallic,Parchment,True,JM3KFADM9J1369436,42319,2239
2015,Nissan,Pathfinder SL,FWD,20,27,Gasoline,CVT,3.5L V6 24V MPFI DOHC,Brilliant Silver,Â,True,5N1AR2MNXFC690791,FC690791,2240
2022,Bmw,X2 xDrive28i,AWD,24,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Alpine White,Black,True,WBXYJ1C00N5T40926,N5T40926S,2241
2020,Acura,MDX SH-AWD 7-Passenger,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Platinum White Pearl,Ebony,True,5J8YD4H36LL048488,PLL048488,2242
2019,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Alpine White,Â,True,5UXCR6C56KLL35342,KLL35342,2243
2014,Mercedes-Benz,E-Class E 350 4MATIC,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Silver,Black,True,WDDHH8JB1EB066844,22593520,2244
2017,Lexus,NX 200t F Sport,AWD,22,27,Gasoline,Automatic,2.0L I4 16V PDI DOHC Turbo,Obsidian Black,Â,True,JTJBARBZ6H2111252,H2111252,2245
2015,Jeep,Grand Cherokee Limited,RWD,17,25,Flex Fuel,Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,Maximum Steel Metallic,Â,True,1C4RJEBGXFC873208,FC873208,2246
2021,Bmw,X7 xDrive40i,AWD,19,24,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Alpine White,Black,True,5UXCW2C05M9E03011,PM9E03011,2247
2021,Mercedes-Benz,GLC 300 Base 4MATIC,AWD,21,28,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Selenite Gray Metallic,Black,True,W1N0G8EB7MF879075,PMF879075,2248
2020,Jeep,Wrangler Unlimited Sahara,4WD,17,23,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Sting Gray Clearcoat,Black,True,1C4HJXEN8LW311335,YLW311335,2249
2019,Infiniti,QX80 Luxe,RWD,14,20,Gasoline,Automatic,5.6L V8 32V GDI DOHC,Black Obsidian,Graphite,False,JN8AZ2ND2K9850023,I45448A,2250
2019,Bmw,X1 sDrive28i,FWD,23,32,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Sparkling Brown Metallic,Oyster / Black,True,WBXHU7C59K5L10471,5136922A,2251
2019,Ford,Edge Titanium,FWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Silver,Ebony,False,2FMPK3K92KBB54700,NBA67476B,2252
2019,Cadillac,XT4 Sport,FWD,24,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Crystal White Tri-Coat,Jet Black,True,1GYFZER44KF180600,5140246A,2253
2018,Subaru,Outback 2.5i Limited,AWD,25,32,Gasoline,CVT,2.5L H4 16V MPFI DOHC,Crystal White Pearl,Black,True,4S4BSANC2J3238973,P4287A,2254
2021,Volkswagen,Tiguan 2.0T S,FWD,23,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Atlantic Blue,Titan Black,True,3VV1B7AX7MM133801,P4573,2255
2021,Gmc,Yukon XL SLT,4WD,15,19,Gasoline,Automatic,5.3L V8 16V GDI OHV,Onyx Black,Jet Black,True,1GKS2GKD2MR486702,C9N089,2256
2021,Mercedes-Benz,GLE 350 Base 4MATIC,AWD,19,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Gray,Â,True,4JGFB4KB0MA496715,MA496715,2257
2020,Bmw,X7 xDrive40i,AWD,20,25,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Black,Black,True,5UXCW2C01L9C68723,L9C68723,2258
2019,Toyota,Highlander XLE,AWD,20,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/211,Gray,Â,True,5TDJZRFHXKS711653,3BK067A,2259
2020,Gmc,Sierra 1500 Denali,4WD,16,22,Gasoline,Automatic,6.2L V8 16V GDI OHV,Onyx Black,Jet Black,True,3GTU9FEL8LG316999,C22434A,2260
2020,Ford,Edge SEL,AWD,21,28,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Agate Black,Ebony,False,2FMPK4J98LBA45893,L19049,2261
2019,Bmw,330 i xDrive,AWD,25,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black Sapphire Metallic,Black,True,3MW5R7J54K8A26492,F2884B,2262
2017,Porsche,911 Carrera GTS,RWD,18,26,Gasoline,Automatic,3.0L H6 24V GDI DOHC Twin Turbo,Racing Yellow,Black,False,WP0AB2A97HS124581,PHS124581,2263
2018,Bmw,X1 xDrive28i,AWD,22,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black Sapphire Metallic,Black,True,WBXHT3C30J5K31859,24932B,2264
2020,Chevrolet,Trax LS,FWD,26,31,Gasoline,Automatic,1.4L I4 16V MPFI DOHC Turbo,Satin Steel Metallic,Black,True,3GNCJKSB2LL170265,47124H,2265
2020,Lincoln,Aviator Reserve AWD,AWD,17,24,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,Bronzemist,Sandstone,True,5LM5J7XC6LGL09598,R5546,2266
2022,Volkswagen,Taos 1.5T SE,FWD,28,36,Gasoline,Automatic,1.5L I4 16V GDI DOHC Turbo,Deep Black Pearl Effect,Black,False,3VVRX7B26NM008376,V3084,2267
2020,Tesla,Model Y Long Range,AWD,127,114,Electric,Automatic,Electric,Â,Â,True,5YJYGDEEXLF045527,C2005,2268
2020,Acura,RDX Technology Package,AWD,21,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Majestic Black Pearl,Ebony,False,5J8TC2H51LL040320,5126P,2269
2017,Toyota,Highlander XLE,AWD,20,26,Gasoline,Automatic,3.5L V6 24V GDI DOHC,Predawn Gray Mica,Black,False,5TDJZRFH0HS511888,TPDS5233A,2270
2018,Bmw,X5 xDrive35i,AWD,18,24,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Glacier Silver Metallic,Black,True,5UXKR0C55J0X98694,B60870B,2271
2021,Audi,RS 5 2.9T,AWD,18,25,Gasoline,Automatic,2.9L V6 24V GDI DOHC Twin Turbo,Glacier White Metallic,Black / Crescendo Red,True,WUAAWCF55MA902637,AR902637,2272
2019,Infiniti,QX60 Luxe,AWD,19,26,Gasoline,CVT,3.5L V6 24V GDI DOHC,Majestic White,Graphite,True,5N1DL0MM8KC526928,PF7178,2273
2019,Lincoln,Nautilus Select,AWD,20,25,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black,Tan,True,2LMPJ8K92KBL24719,22979696,2274
2018,Toyota,RAV4 XLE,FWD,23,30,Gasoline,Automatic,2.5L I4 16V MPFI DOHC,Electric Storm Blue,Black,True,JTMWFREV4JD131010,131010,2275
2019,Honda,Pilot EX-L,AWD,18,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Lunar Silver Metallic,Gray,True,5FNYF6H53KB065465,B061763A,2276
2020,Chevrolet,Blazer 2LT,FWD,21,28,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Red,Jet Black,True,3GNKBCRS3LS601190,48584P,2277
2018,Chrysler,300 Limited,AWD,18,27,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Billet Silver Metallic Clearcoat,Black,True,2C3CCAKG0JH177444,7444PHC,2278
2016,Honda,Accord EX-L,FWD,21,34,Gasoline,Automatic,3.5L V6 24V MPFI SOHC,Crystal Black Pearl,Black,True,1HGCR3F80GA024497,GA024497,2279
2018,Bmw,430 Gran Coupe i,RWD,24,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Jet Black,Black / Red,True,WBA4J1C55JBG78146,P43120A,2280
2020,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Black Sapphire Metallic,Black,True,5UXCR6C06L9B19075,100103A,2281
2019,Lexus,RX 350 Base,FWD,20,28,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Caviar,Â,True,2T2ZZMCAXKC131935,KC131935,2282
2019,Ford,Expedition Limited,4WD,17,22,Gasoline,Automatic,3.5L V6 24V GDI DOHC Twin Turbo,Agate Black,Ebony,True,1FMJU2AT2KEA30504,19759P,2283
2019,Cadillac,CT6 3.6L Premium Luxury,AWD,18,27,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Stellar Black Metallic,Shara Beige,True,1G6KD5RS8KU120657,34029,2284
2020,Honda,Civic LX,FWD,30,38,Gasoline,CVT,2.0L I4 16V MPFI DOHC,Modern Steel Metallic,Black,True,19XFC2F67LE030844,222-540C,2285
2003,Ford,ZX2,FWD,26,33,Gasoline,Manual,2.0L I4 16V MPFI DOHC,Orange,Â,True,3FAFP11343R142429,PS1007,2286
2018,Honda,Accord EX-L,FWD,30,38,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Crystal Black Pearl,Black,True,1HGCV1F62JA121030,12N1400A,2287
2019,Infiniti,QX80 Luxe,AWD,13,19,Gasoline,Automatic,5.6L V8 32V GDI DOHC,Champagne Quartz,Graphite / Stone,True,JN8AZ2NE3K9232153,IP1092,2288
